@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {BoatPose, UpwardPlank, BowPose, TheTree, Bridge, TheExtendedSideAngle, ChildsPose, StandingStill, CobraPose, StandingMoving, DownwardFacingDog, SeatedForwardBend, MeditationPose, Plank}

@data
-0.0619202, 0.0447083, -0.996582, CobraPose
-0.0589905, 0.0335083, -1.00781, CobraPose
-0.0665283, 0.0545959, -1.00098, CobraPose
-0.0597534, 0.0414429, -1.00488, CobraPose
-0.0629272, 0.0586243, -1.00195, CobraPose
-0.0657349, 0.0777588, -1.00293, CobraPose
-0.0662231, 0.0775757, -1, CobraPose
-0.0682983, 0.0744019, -1, CobraPose
-0.0649414, 0.0725098, -1.00195, CobraPose
-0.0696411, 0.0840454, -1, CobraPose
-0.0680542, 0.0834961, -1, CobraPose
-0.0717773, 0.0916138, -0.998047, CobraPose
-0.0668945, 0.0961304, -1, CobraPose
-0.0698853, 0.112, -0.996094, CobraPose
-0.0692139, 0.110535, -0.997559, CobraPose
-0.0722656, 0.142212, -0.995117, CobraPose
-0.0791626, 0.124817, -0.993164, CobraPose
-0.0576172, -0.150024, -0.996582, CobraPose
-0.0487366, -0.139038, -0.995117, CobraPose
-0.0395813, -0.145996, -0.996582, CobraPose
-0.0378723, -0.143677, -0.997559, CobraPose
-0.0149841, -0.140015, -0.996582, CobraPose
0.0141068, -0.155884, -0.998535, CobraPose
0.0209198, -0.154663, -0.995605, CobraPose
0.0261536, -0.172485, -0.995605, CobraPose
0.0289154, -0.106812, -1, CobraPose
0.0272675, -0.148682, -0.998047, CobraPose
0.0415649, -0.165039, -0.993652, CobraPose
0.0354919, -0.148438, -0.998535, CobraPose
0.0358582, -0.182739, -0.989746, CobraPose
0.0375366, -0.174194, -0.994141, CobraPose
0.037262, -0.174561, -0.993652, CobraPose
0.0374451, -0.165405, -0.996582, CobraPose
0.0395813, -0.169189, -0.994141, CobraPose
0.0413208, -0.170166, -0.994141, CobraPose
0.0410156, -0.16687, -0.995605, CobraPose
0.0388184, -0.164673, -0.995605, CobraPose
0.0377502, -0.163696, -0.996094, CobraPose
0.0384827, -0.165039, -0.995605, CobraPose
0.0408936, -0.162354, -0.995605, CobraPose
-0.984863, 0.112732, -0.0834351, StandingMoving
-0.997559, -0.17688, -0.0928955, StandingMoving
-0.916992, -0.373291, 0.0263824, StandingMoving
